PolicyNo,InceptionDate,ExpiryDate,Region,Industry,RevenueBand,Employees,CyberControlsScore,Underwriter,Premium,ClaimsCount,ClaimsAmount,Year,Month,LossRatio,Frequency,Severity
POL101046,2024-03-18,2025-03-18,EMEA,Healthcare,2m-10m,128,53.7,UW-A,7270.15,0,0.0,2024,3,0.0,0,0.0
POL101047,2024-03-02,2025-03-02,UK,Healthcare,100k-500k,9,56.2,UW-D,872.99,0,0.0,2024,3,0.0,0,0.0
POL101048,2024-05-11,2025-05-11,US,Retail,500k-2m,25,95.4,UW-C,2570.98,0,0.0,2024,5,0.0,0,0.0
POL101049,2024-03-29,2025-03-29,US,Other,500k-2m,57,67.8,UW-A,2794.77,0,0.0,2024,3,0.0,0,0.0
POL101050,2024-08-24,2025-08-24,US,Tech,500k-2m,22,35.0,UW-A,2929.9,1,88908.68,2024,8,30.345295061264885,1,88908.68
POL101051,2024-02-11,2025-02-10,UK,Healthcare,10m+,503,52.2,UW-A,23823.75,1,42944.29,2024,2,1.802583136575896,1,42944.29
POL101052,2024-03-29,2025-03-29,EMEA,Other,100k-500k,16,66.3,UW-B,850.56,0,0.0,2024,3,0.0,0,0.0
POL101053,2024-10-22,2025-10-22,EMEA,Manufacturing,<100k,4,92.6,UW-D,202.78,0,0.0,2024,10,0.0,0,0.0
POL101054,2024-11-23,2025-11-23,US,Tech,500k-2m,52,79.9,UW-C,2757.11,0,0.0,2024,11,0.0,0,0.0
POL101055,2024-10-21,2025-10-21,US,Professional Services,500k-2m,55,50.6,UW-D,2897.75,0,0.0,2024,10,0.0,0,0.0
POL101056,2024-04-13,2025-04-13,US,Tech,100k-500k,5,100.0,UW-A,769.83,0,0.0,2024,4,0.0,0,0.0
POL101057,2024-01-14,2025-01-13,APAC,Healthcare,<100k,5,64.5,UW-B,222.26,0,0.0,2024,1,0.0,0,0.0
POL101058,2024-10-14,2025-10-14,EMEA,Healthcare,100k-500k,12,83.6,UW-A,799.57,0,0.0,2024,10,0.0,0,0.0
POL101059,2024-06-27,2025-06-27,UK,Professional Services,100k-500k,9,47.6,UW-A,906.32,0,0.0,2024,6,0.0,0,0.0
POL101060,2024-05-04,2025-05-04,UK,Retail,100k-500k,6,29.0,UW-C,909.05,1,12828.96,2024,5,14.112491062097794,1,12828.96
POL101061,2024-12-18,2025-12-18,APAC,Healthcare,100k-500k,16,43.7,UW-A,835.8,0,0.0,2024,12,0.0,0,0.0
POL101062,2024-01-23,2025-01-22,UK,Professional Services,500k-2m,41,15.8,UW-C,3245.86,0,0.0,2024,1,0.0,0,0.0
POL101063,2024-03-03,2025-03-03,APAC,Manufacturing,<100k,1,96.7,UW-B,214.22,1,30609.12,2024,3,142.88637848940343,1,30609.12
POL101064,2024-05-22,2025-05-22,US,Manufacturing,100k-500k,11,68.1,UW-C,842.16,0,0.0,2024,5,0.0,0,0.0
POL101065,2024-06-01,2025-06-01,UK,Tech,100k-500k,15,51.0,UW-A,886.38,1,47373.33,2024,6,53.44584715359101,1,47373.33
POL101066,2024-05-24,2025-05-24,UK,Healthcare,<100k,4,71.7,UW-C,218.41,0,0.0,2024,5,0.0,0,0.0
POL101067,2024-08-12,2025-08-12,US,Tech,500k-2m,56,67.3,UW-D,2874.96,0,0.0,2024,8,0.0,0,0.0
POL101068,2024-11-04,2025-11-04,EMEA,Retail,2m-10m,87,73.4,UW-D,7549.82,0,0.0,2024,11,0.0,0,0.0
POL101069,2024-04-13,2025-04-13,UK,Other,100k-500k,15,83.0,UW-C,774.51,0,0.0,2024,4,0.0,0,0.0
POL101070,2024-04-13,2025-04-13,UK,Manufacturing,500k-2m,20,60.5,UW-C,2985.52,0,0.0,2024,4,0.0,0,0.0
POL101071,2024-02-08,2025-02-07,APAC,Professional Services,2m-10m,202,49.8,UW-B,7954.57,0,0.0,2024,2,0.0,0,0.0
POL101072,2024-07-16,2025-07-16,UK,Professional Services,500k-2m,61,76.8,UW-C,2813.12,0,0.0,2024,7,0.0,0,0.0
POL101073,2024-05-13,2025-05-13,US,Tech,<100k,4,77.0,UW-C,227.24,0,0.0,2024,5,0.0,0,0.0
POL101074,2024-03-07,2025-03-07,US,Retail,10m+,1119,55.3,UW-B,23631.27,0,0.0,2024,3,0.0,0,0.0
POL101075,2024-06-27,2025-06-27,UK,Tech,100k-500k,15,97.5,UW-C,709.01,0,0.0,2024,6,0.0,0,0.0
POL101076,2024-02-11,2025-02-10,UK,Retail,100k-500k,21,58.2,UW-B,855.66,0,0.0,2024,2,0.0,0,0.0
POL101077,2024-01-15,2025-01-14,UK,Tech,<100k,3,51.5,UW-A,229.99,0,0.0,2024,1,0.0,0,0.0
POL101078,2024-04-20,2025-04-20,UK,Professional Services,100k-500k,17,71.1,UW-B,801.86,0,0.0,2024,4,0.0,0,0.0
POL101079,2024-06-05,2025-06-05,US,Tech,<100k,3,54.8,UW-A,231.78,0,0.0,2024,6,0.0,0,0.0
POL101080,2024-10-15,2025-10-15,US,Other,<100k,4,72.4,UW-B,226.8,0,0.0,2024,10,0.0,0,0.0
POL101081,2024-08-18,2025-08-18,US,Healthcare,100k-500k,22,52.3,UW-A,849.32,0,0.0,2024,8,0.0,0,0.0
POL101082,2024-06-05,2025-06-05,US,Professional Services,500k-2m,46,58.5,UW-B,2821.45,0,0.0,2024,6,0.0,0,0.0
POL101083,2024-02-07,2025-02-06,UK,Tech,2m-10m,135,92.0,UW-C,7100.05,0,0.0,2024,2,0.0,0,0.0
POL101084,2024-04-06,2025-04-06,UK,Retail,100k-500k,20,58.7,UW-B,902.9,0,0.0,2024,4,0.0,0,0.0
POL101085,2024-10-15,2025-10-15,UK,Tech,2m-10m,115,51.9,UW-A,8017.92,0,0.0,2024,10,0.0,0,0.0
POL101086,2024-09-10,2025-09-10,UK,Retail,2m-10m,54,82.0,UW-B,6962.04,0,0.0,2024,9,0.0,0,0.0
POL101087,2024-07-14,2025-07-14,APAC,Manufacturing,500k-2m,37,48.9,UW-A,2695.65,0,0.0,2024,7,0.0,0,0.0
POL101088,2024-03-26,2025-03-26,UK,Healthcare,<100k,3,54.6,UW-B,234.44,0,0.0,2024,3,0.0,0,0.0
POL101089,2024-11-17,2025-11-17,UK,Healthcare,500k-2m,46,73.2,UW-B,2619.75,0,0.0,2024,11,0.0,0,0.0
POL101090,2024-01-10,2025-01-09,EMEA,Retail,2m-10m,167,77.4,UW-D,7779.02,0,0.0,2024,1,0.0,0,0.0
POL101091,2024-01-05,2025-01-04,EMEA,Other,500k-2m,36,82.9,UW-A,2466.61,0,0.0,2024,1,0.0,0,0.0
POL101092,2024-05-02,2025-05-02,APAC,Other,100k-500k,20,53.6,UW-C,842.67,0,0.0,2024,5,0.0,0,0.0
POL101093,2024-11-25,2025-11-25,UK,Retail,100k-500k,10,73.8,UW-D,761.25,0,0.0,2024,11,0.0,0,0.0
POL101094,2024-12-18,2025-12-18,UK,Professional Services,100k-500k,23,57.8,UW-D,874.09,0,0.0,2024,12,0.0,0,0.0
POL101095,2024-04-27,2025-04-27,UK,Retail,100k-500k,11,55.8,UW-A,888.42,0,0.0,2024,4,0.0,0,0.0
POL101096,2024-10-20,2025-10-20,UK,Tech,<100k,2,83.0,UW-B,214.91,1,46318.05,2024,10,215.52300963193898,1,46318.05
POL101097,2024-06-07,2025-06-07,US,Healthcare,100k-500k,18,56.6,UW-A,811.89,0,0.0,2024,6,0.0,0,0.0
POL101098,2024-10-29,2025-10-29,EMEA,Retail,500k-2m,57,68.6,UW-B,2658.69,0,0.0,2024,10,0.0,0,0.0
POL101099,2024-08-15,2025-08-15,US,Tech,2m-10m,160,65.7,UW-A,7891.72,0,0.0,2024,8,0.0,0,0.0
POL101100,2024-12-30,2025-12-30,UK,Tech,<100k,1,48.9,UW-C,214.31,0,0.0,2024,12,0.0,0,0.0
POL101101,2024-08-03,2025-08-03,UK,Retail,10m+,1778,61.7,UW-A,22281.41,0,0.0,2024,8,0.0,0,0.0
POL101102,2024-07-02,2025-07-02,APAC,Manufacturing,100k-500k,9,73.3,UW-B,878.7,0,0.0,2024,7,0.0,0,0.0
POL101103,2024-01-15,2025-01-14,US,Retail,500k-2m,24,35.0,UW-B,3014.3,0,0.0,2024,1,0.0,0,0.0
POL101104,2024-06-05,2025-06-05,APAC,Healthcare,500k-2m,48,68.7,UW-D,2555.35,0,0.0,2024,6,0.0,0,0.0
POL101105,2024-05-15,2025-05-15,EMEA,Professional Services,500k-2m,51,52.9,UW-C,2804.65,0,0.0,2024,5,0.0,0,0.0
POL101106,2024-09-17,2025-09-17,APAC,Retail,2m-10m,237,79.1,UW-A,7251.55,0,0.0,2024,9,0.0,0,0.0
POL101107,2024-06-05,2025-06-05,EMEA,Professional Services,100k-500k,10,43.2,UW-A,987.46,0,0.0,2024,6,0.0,0,0.0
POL101108,2024-02-16,2025-02-15,UK,Healthcare,2m-10m,179,57.9,UW-A,8647.13,0,0.0,2024,2,0.0,0,0.0
POL101109,2024-11-19,2025-11-19,EMEA,Tech,<100k,3,70.4,UW-C,227.76,0,0.0,2024,11,0.0,0,0.0
POL101110,2024-11-27,2025-11-27,US,Retail,500k-2m,23,65.6,UW-C,2738.86,0,0.0,2024,11,0.0,0,0.0
POL101111,2024-06-21,2025-06-21,UK,Professional Services,500k-2m,48,76.0,UW-B,2862.09,0,0.0,2024,6,0.0,0,0.0
POL101112,2024-05-09,2025-05-09,UK,Professional Services,500k-2m,44,41.8,UW-A,2815.83,0,0.0,2024,5,0.0,0,0.0
POL101113,2024-04-04,2025-04-04,UK,Other,100k-500k,13,89.6,UW-C,817.77,0,0.0,2024,4,0.0,0,0.0
POL101114,2024-04-24,2025-04-24,UK,Tech,2m-10m,180,71.1,UW-B,8030.41,0,0.0,2024,4,0.0,0,0.0
POL101115,2024-08-30,2025-08-30,UK,Professional Services,<100k,2,85.4,UW-D,208.15,0,0.0,2024,8,0.0,0,0.0
POL101116,2024-10-18,2025-10-18,US,Retail,<100k,3,78.1,UW-B,226.82,0,0.0,2024,10,0.0,0,0.0
POL101117,2024-10-08,2025-10-08,APAC,Manufacturing,500k-2m,46,64.4,UW-A,2734.13,0,0.0,2024,10,0.0,0,0.0
POL101118,2024-10-25,2025-10-25,US,Professional Services,100k-500k,8,45.7,UW-B,829.72,0,0.0,2024,10,0.0,0,0.0
POL101119,2024-10-09,2025-10-09,UK,Healthcare,500k-2m,51,56.0,UW-A,3006.84,1,49395.03,2024,10,16.427555174202816,1,49395.03
POL101120,2024-03-09,2025-03-09,UK,Manufacturing,100k-500k,5,88.8,UW-C,774.68,0,0.0,2024,3,0.0,0,0.0
POL101121,2024-05-27,2025-05-27,UK,Professional Services,<100k,1,85.8,UW-C,215.77,0,0.0,2024,5,0.0,0,0.0
POL101122,2024-01-11,2025-01-10,US,Professional Services,500k-2m,72,55.0,UW-A,3136.75,0,0.0,2024,1,0.0,0,0.0
POL101123,2024-09-10,2025-09-10,EMEA,Professional Services,100k-500k,20,22.5,UW-A,909.67,0,0.0,2024,9,0.0,0,0.0
POL101124,2024-11-25,2025-11-25,UK,Manufacturing,<100k,3,61.8,UW-A,223.85,0,0.0,2024,11,0.0,0,0.0
POL101125,2024-12-25,2025-12-25,US,Tech,500k-2m,67,60.0,UW-D,3055.7,0,0.0,2024,12,0.0,0,0.0
POL101126,2024-02-07,2025-02-06,EMEA,Professional Services,100k-500k,15,61.1,UW-A,875.58,0,0.0,2024,2,0.0,0,0.0
POL101127,2024-05-13,2025-05-13,UK,Healthcare,100k-500k,12,72.8,UW-A,789.38,0,0.0,2024,5,0.0,0,0.0
POL101128,2024-07-18,2025-07-18,UK,Retail,100k-500k,5,78.1,UW-A,766.32,0,0.0,2024,7,0.0,0,0.0
POL101129,2024-01-23,2025-01-22,EMEA,Professional Services,500k-2m,45,79.4,UW-B,2601.12,0,0.0,2024,1,0.0,0,0.0
POL101130,2024-10-29,2025-10-29,US,Retail,500k-2m,47,71.2,UW-C,2638.84,0,0.0,2024,10,0.0,0,0.0
POL101131,2024-12-11,2025-12-11,UK,Tech,500k-2m,72,37.3,UW-D,3058.37,1,43063.48,2024,12,14.080533094426118,1,43063.48
POL101132,2024-10-28,2025-10-28,UK,Professional Services,<100k,2,59.9,UW-A,227.62,0,0.0,2024,10,0.0,0,0.0
POL101133,2024-12-28,2025-12-28,US,Retail,500k-2m,28,99.3,UW-C,2540.82,0,0.0,2024,12,0.0,0,0.0
POL101134,2024-08-05,2025-08-05,UK,Other,500k-2m,63,70.0,UW-B,2634.39,0,0.0,2024,8,0.0,0,0.0
POL101135,2024-05-20,2025-05-20,EMEA,Professional Services,500k-2m,41,70.1,UW-D,2739.43,0,0.0,2024,5,0.0,0,0.0
POL101136,2024-04-13,2025-04-13,UK,Manufacturing,100k-500k,12,70.3,UW-A,739.53,0,0.0,2024,4,0.0,0,0.0
POL101137,2024-07-28,2025-07-28,UK,Healthcare,2m-10m,226,69.0,UW-A,7779.33,0,0.0,2024,7,0.0,0,0.0
POL101138,2024-04-20,2025-04-20,UK,Tech,500k-2m,61,28.6,UW-B,3276.9,0,0.0,2024,4,0.0,0,0.0
POL101139,2024-04-13,2025-04-13,APAC,Healthcare,<100k,3,61.4,UW-A,209.65,0,0.0,2024,4,0.0,0,0.0
POL101140,2024-11-11,2025-11-11,EMEA,Tech,100k-500k,11,64.3,UW-A,859.54,0,0.0,2024,11,0.0,0,0.0
POL101141,2024-06-19,2025-06-19,EMEA,Other,2m-10m,74,83.5,UW-C,7159.38,0,0.0,2024,6,0.0,0,0.0
POL101142,2024-12-21,2025-12-21,UK,Manufacturing,<100k,5,65.7,UW-C,231.81,0,0.0,2024,12,0.0,0,0.0
POL101143,2024-11-19,2025-11-19,EMEA,Professional Services,10m+,1887,21.4,UW-B,25440.21,0,0.0,2024,11,0.0,0,0.0
POL101144,2024-05-12,2025-05-12,EMEA,Professional Services,500k-2m,43,71.0,UW-C,2797.14,0,0.0,2024,5,0.0,0,0.0
POL101145,2024-10-19,2025-10-19,UK,Professional Services,100k-500k,23,52.7,UW-B,871.06,0,0.0,2024,10,0.0,0,0.0
POL101146,2024-11-23,2025-11-23,APAC,Professional Services,100k-500k,22,46.5,UW-B,942.45,0,0.0,2024,11,0.0,0,0.0
POL101147,2024-05-06,2025-05-06,EMEA,Professional Services,<100k,2,52.5,UW-B,235.69,1,51759.97,2024,5,219.61037803894948,1,51759.97
POL101148,2024-04-15,2025-04-15,APAC,Professional Services,2m-10m,191,71.2,UW-C,7401.4,0,0.0,2024,4,0.0,0,0.0
POL101149,2024-04-01,2025-04-01,EMEA,Healthcare,100k-500k,14,83.7,UW-A,794.65,1,21222.23,2024,4,26.706386459447558,1,21222.23
POL101150,2024-10-13,2025-10-13,EMEA,Tech,500k-2m,51,71.7,UW-A,2685.37,0,0.0,2024,10,0.0,0,0.0
POL101151,2024-02-20,2025-02-19,APAC,Manufacturing,100k-500k,20,74.3,UW-B,820.86,0,0.0,2024,2,0.0,0,0.0
POL101152,2024-01-29,2025-01-28,UK,Manufacturing,<100k,2,72.1,UW-B,214.01,0,0.0,2024,1,0.0,0,0.0
POL101153,2024-10-22,2025-10-22,EMEA,Retail,<100k,5,66.5,UW-C,214.81,0,0.0,2024,10,0.0,0,0.0
POL101154,2024-10-23,2025-10-23,UK,Manufacturing,100k-500k,16,75.3,UW-B,819.84,0,0.0,2024,10,0.0,0,0.0
POL101155,2024-08-01,2025-08-01,EMEA,Tech,10m+,719,21.5,UW-A,25303.72,0,0.0,2024,8,0.0,0,0.0
POL101156,2024-09-23,2025-09-23,EMEA,Tech,100k-500k,19,66.5,UW-A,878.1,0,0.0,2024,9,0.0,0,0.0
POL101157,2024-09-13,2025-09-13,EMEA,Healthcare,100k-500k,16,49.2,UW-A,858.8,0,0.0,2024,9,0.0,0,0.0
POL101158,2024-10-28,2025-10-28,EMEA,Retail,100k-500k,15,82.3,UW-C,715.59,0,0.0,2024,10,0.0,0,0.0
POL101159,2024-04-10,2025-04-10,UK,Retail,100k-500k,23,62.6,UW-B,828.15,0,0.0,2024,4,0.0,0,0.0
POL101160,2024-12-11,2025-12-11,US,Manufacturing,100k-500k,18,65.3,UW-C,768.7,0,0.0,2024,12,0.0,0,0.0
POL101161,2024-04-19,2025-04-19,UK,Other,2m-10m,149,40.9,UW-B,8553.15,0,0.0,2024,4,0.0,0,0.0
POL101162,2024-06-30,2025-06-30,UK,Healthcare,100k-500k,21,80.0,UW-D,733.04,0,0.0,2024,6,0.0,0,0.0
POL101163,2024-11-08,2025-11-08,US,Manufacturing,100k-500k,23,74.2,UW-D,774.25,0,0.0,2024,11,0.0,0,0.0
POL101164,2024-01-01,2024-12-31,US,Tech,<100k,3,73.3,UW-C,213.85,0,0.0,2024,1,0.0,0,0.0
POL101165,2024-11-14,2025-11-14,UK,Tech,10m+,1872,34.1,UW-D,26276.44,0,0.0,2024,11,0.0,0,0.0
POL101166,2024-02-24,2025-02-23,UK,Healthcare,<100k,1,53.4,UW-B,218.67,0,0.0,2024,2,0.0,0,0.0
POL101167,2024-05-28,2025-05-28,UK,Professional Services,<100k,2,68.3,UW-D,221.27,0,0.0,2024,5,0.0,0,0.0
POL101168,2024-11-04,2025-11-04,EMEA,Professional Services,500k-2m,26,54.3,UW-C,2964.37,0,0.0,2024,11,0.0,0,0.0
POL101169,2024-05-16,2025-05-16,US,Professional Services,100k-500k,24,71.3,UW-D,882.73,0,0.0,2024,5,0.0,0,0.0
POL101170,2024-07-20,2025-07-20,UK,Healthcare,100k-500k,11,32.5,UW-B,954.48,0,0.0,2024,7,0.0,0,0.0
POL101171,2024-11-08,2025-11-08,EMEA,Tech,100k-500k,12,57.6,UW-C,902.82,0,0.0,2024,11,0.0,0,0.0
POL101172,2024-04-26,2025-04-26,UK,Healthcare,500k-2m,35,91.6,UW-B,2681.06,0,0.0,2024,4,0.0,0,0.0
POL101173,2024-06-02,2025-06-02,US,Tech,<100k,3,71.6,UW-A,205.7,0,0.0,2024,6,0.0,0,0.0
POL101174,2024-10-17,2025-10-17,UK,Tech,500k-2m,64,66.9,UW-B,2825.76,1,43885.38,2024,10,15.530469678953624,1,43885.38
POL101175,2024-03-03,2025-03-03,APAC,Professional Services,100k-500k,14,94.6,UW-D,795.9,0,0.0,2024,3,0.0,0,0.0
POL101176,2024-08-31,2025-08-31,UK,Tech,100k-500k,22,29.7,UW-A,881.48,0,0.0,2024,8,0.0,0,0.0
POL101177,2024-01-25,2025-01-24,EMEA,Manufacturing,100k-500k,11,52.7,UW-B,843.08,0,0.0,2024,1,0.0,0,0.0
POL101178,2024-03-30,2025-03-30,US,Tech,100k-500k,9,58.9,UW-B,818.5,0,0.0,2024,3,0.0,0,0.0
POL101179,2024-03-15,2025-03-15,UK,Tech,500k-2m,50,77.4,UW-B,2792.19,0,0.0,2024,3,0.0,0,0.0
POL101180,2024-10-20,2025-10-20,UK,Retail,100k-500k,11,78.0,UW-D,802.21,0,0.0,2024,10,0.0,0,0.0
POL101181,2024-07-28,2025-07-28,UK,Retail,100k-500k,21,51.8,UW-D,856.54,0,0.0,2024,7,0.0,0,0.0
POL101182,2024-12-12,2025-12-12,EMEA,Tech,100k-500k,8,79.9,UW-B,748.97,0,0.0,2024,12,0.0,0,0.0
POL101183,2024-01-17,2025-01-16,UK,Tech,10m+,1311,45.8,UW-A,23533.76,0,0.0,2024,1,0.0,0,0.0
POL101184,2024-05-07,2025-05-07,EMEA,Other,100k-500k,20,83.0,UW-B,770.01,0,0.0,2024,5,0.0,0,0.0
POL101185,2024-12-29,2025-12-29,US,Healthcare,2m-10m,219,47.3,UW-B,8329.8,1,70486.29,2024,12,8.461942663689404,1,70486.29
POL101186,2024-09-07,2025-09-07,UK,Professional Services,100k-500k,7,63.1,UW-B,794.12,0,0.0,2024,9,0.0,0,0.0
POL101187,2024-06-27,2025-06-27,UK,Retail,<100k,3,57.6,UW-A,230.3,0,0.0,2024,6,0.0,0,0.0
POL101188,2024-06-30,2025-06-30,APAC,Professional Services,<100k,3,80.8,UW-B,208.13,0,0.0,2024,6,0.0,0,0.0
POL101189,2024-05-31,2025-05-31,UK,Professional Services,100k-500k,21,56.9,UW-A,804.17,0,0.0,2024,5,0.0,0,0.0
POL101190,2024-01-25,2025-01-24,UK,Healthcare,<100k,2,64.3,UW-C,208.95,0,0.0,2024,1,0.0,0,0.0
POL101191,2024-06-28,2025-06-28,US,Manufacturing,<100k,1,72.6,UW-A,205.42,0,0.0,2024,6,0.0,0,0.0
POL101192,2024-07-16,2025-07-16,UK,Tech,2m-10m,143,71.7,UW-B,7581.28,0,0.0,2024,7,0.0,0,0.0
POL101193,2024-12-09,2025-12-09,US,Manufacturing,500k-2m,68,77.6,UW-A,2702.92,0,0.0,2024,12,0.0,0,0.0
POL101194,2024-06-09,2025-06-09,UK,Tech,500k-2m,40,67.8,UW-D,2805.68,0,0.0,2024,6,0.0,0,0.0
POL101195,2024-06-25,2025-06-25,APAC,Tech,<100k,4,58.7,UW-B,231.03,0,0.0,2024,6,0.0,0,0.0
POL101196,2024-10-11,2025-10-11,UK,Tech,<100k,5,59.7,UW-A,218.26,1,23973.71,2024,10,109.84014478145332,1,23973.71
POL101197,2024-03-03,2025-03-03,APAC,Tech,<100k,4,65.3,UW-B,234.94,0,0.0,2024,3,0.0,0,0.0
POL101198,2024-05-29,2025-05-29,UK,Other,500k-2m,44,68.3,UW-D,2703.05,0,0.0,2024,5,0.0,0,0.0
POL101199,2024-06-02,2025-06-02,UK,Retail,2m-10m,103,61.8,UW-C,8068.95,0,0.0,2024,6,0.0,0,0.0
POL101200,2024-06-04,2025-06-04,APAC,Tech,100k-500k,24,65.0,UW-C,830.63,0,0.0,2024,6,0.0,0,0.0
POL101201,2024-02-18,2025-02-17,UK,Other,<100k,1,42.2,UW-A,243.01,0,0.0,2024,2,0.0,0,0.0
POL101202,2024-12-02,2025-12-02,UK,Manufacturing,100k-500k,21,74.8,UW-C,804.29,0,0.0,2024,12,0.0,0,0.0
POL101203,2024-03-24,2025-03-24,UK,Manufacturing,100k-500k,14,67.6,UW-C,847.36,0,0.0,2024,3,0.0,0,0.0
POL101204,2024-12-26,2025-12-26,APAC,Other,100k-500k,11,79.9,UW-B,799.95,0,0.0,2024,12,0.0,0,0.0
POL101205,2024-06-25,2025-06-25,UK,Tech,100k-500k,20,64.8,UW-D,872.1,0,0.0,2024,6,0.0,0,0.0
POL101206,2024-05-27,2025-05-27,EMEA,Manufacturing,500k-2m,48,38.4,UW-A,2889.98,0,0.0,2024,5,0.0,0,0.0
POL101207,2024-04-27,2025-04-27,US,Healthcare,<100k,5,59.6,UW-A,206.85,0,0.0,2024,4,0.0,0,0.0
POL101208,2024-12-07,2025-12-07,UK,Manufacturing,<100k,3,62.0,UW-D,214.37,0,0.0,2024,12,0.0,0,0.0
POL101209,2024-03-03,2025-03-03,UK,Manufacturing,10m+,969,66.5,UW-B,23421.61,1,26442.94,2024,3,1.128997536890077,1,26442.94
POL101210,2024-07-07,2025-07-07,APAC,Professional Services,<100k,5,33.9,UW-A,242.18,0,0.0,2024,7,0.0,0,0.0
POL101211,2024-12-25,2025-12-25,EMEA,Manufacturing,<100k,5,65.6,UW-B,223.96,0,0.0,2024,12,0.0,0,0.0
POL101212,2024-02-18,2025-02-17,US,Professional Services,<100k,2,72.7,UW-D,206.7,0,0.0,2024,2,0.0,0,0.0
POL101213,2024-11-22,2025-11-22,UK,Professional Services,<100k,1,55.1,UW-A,230.69,0,0.0,2024,11,0.0,0,0.0
POL101214,2024-09-13,2025-09-13,UK,Tech,100k-500k,17,65.9,UW-A,792.53,0,0.0,2024,9,0.0,0,0.0
POL101215,2024-08-11,2025-08-11,US,Other,500k-2m,49,55.1,UW-A,2748.31,0,0.0,2024,8,0.0,0,0.0
POL101216,2024-05-20,2025-05-20,US,Professional Services,100k-500k,20,53.9,UW-D,847.84,0,0.0,2024,5,0.0,0,0.0
POL101217,2024-08-02,2025-08-02,EMEA,Retail,100k-500k,24,58.6,UW-D,872.49,0,0.0,2024,8,0.0,0,0.0
POL101218,2024-07-29,2025-07-29,UK,Professional Services,500k-2m,53,53.8,UW-B,2964.6,0,0.0,2024,7,0.0,0,0.0
POL101219,2024-11-13,2025-11-13,APAC,Other,100k-500k,9,75.2,UW-B,835.51,0,0.0,2024,11,0.0,0,0.0
POL101220,2024-02-01,2025-01-31,UK,Professional Services,2m-10m,237,51.6,UW-A,7483.83,0,0.0,2024,2,0.0,0,0.0
POL101221,2024-06-06,2025-06-06,UK,Manufacturing,2m-10m,220,49.3,UW-A,8180.27,0,0.0,2024,6,0.0,0,0.0
POL101222,2024-10-11,2025-10-11,APAC,Manufacturing,<100k,1,91.5,UW-C,203.64,0,0.0,2024,10,0.0,0,0.0
POL101223,2024-10-31,2025-10-31,US,Professional Services,500k-2m,30,79.1,UW-A,2469.3,0,0.0,2024,10,0.0,0,0.0
POL101224,2024-10-12,2025-10-12,UK,Professional Services,100k-500k,21,36.9,UW-B,908.48,0,0.0,2024,10,0.0,0,0.0
POL101225,2024-05-23,2025-05-23,EMEA,Healthcare,10m+,567,47.9,UW-B,23179.42,1,141118.75,2024,5,6.088105310659198,1,141118.75
POL101226,2024-01-19,2025-01-18,US,Other,100k-500k,17,68.5,UW-A,849.95,0,0.0,2024,1,0.0,0,0.0
POL101227,2024-01-18,2025-01-17,UK,Manufacturing,10m+,541,64.4,UW-B,22464.22,0,0.0,2024,1,0.0,0,0.0
POL101228,2024-09-13,2025-09-13,US,Tech,500k-2m,56,42.1,UW-B,2900.58,0,0.0,2024,9,0.0,0,0.0
POL101229,2024-03-18,2025-03-18,UK,Manufacturing,<100k,4,82.3,UW-C,221.6,0,0.0,2024,3,0.0,0,0.0
POL101230,2024-06-23,2025-06-23,UK,Professional Services,100k-500k,20,77.2,UW-A,717.37,0,0.0,2024,6,0.0,0,0.0
POL101231,2024-07-12,2025-07-12,UK,Retail,10m+,963,62.6,UW-A,22421.06,0,0.0,2024,7,0.0,0,0.0
POL101232,2024-04-22,2025-04-22,US,Manufacturing,2m-10m,167,83.7,UW-B,6729.66,0,0.0,2024,4,0.0,0,0.0
POL101233,2024-04-23,2025-04-23,UK,Tech,<100k,2,71.8,UW-D,208.82,0,0.0,2024,4,0.0,0,0.0
POL101234,2024-08-09,2025-08-09,EMEA,Manufacturing,500k-2m,33,71.4,UW-A,2810.19,0,0.0,2024,8,0.0,0,0.0
POL101235,2024-06-14,2025-06-14,US,Retail,100k-500k,20,88.2,UW-D,729.84,0,0.0,2024,6,0.0,0,0.0
POL101236,2024-11-14,2025-11-14,UK,Manufacturing,<100k,4,81.5,UW-C,197.22,1,34743.54,2024,11,176.1664131426833,1,34743.54
POL101237,2024-05-11,2025-05-11,US,Tech,100k-500k,17,52.2,UW-C,973.06,0,0.0,2024,5,0.0,0,0.0
POL101238,2024-09-20,2025-09-20,EMEA,Professional Services,<100k,4,74.5,UW-A,202.25,0,0.0,2024,9,0.0,0,0.0
POL101239,2024-02-24,2025-02-23,US,Manufacturing,500k-2m,60,54.4,UW-A,3117.68,0,0.0,2024,2,0.0,0,0.0
POL101240,2024-12-24,2025-12-24,UK,Tech,100k-500k,22,72.3,UW-A,812.2,0,0.0,2024,12,0.0,0,0.0
POL101241,2024-05-10,2025-05-10,UK,Tech,500k-2m,72,71.4,UW-B,2666.48,0,0.0,2024,5,0.0,0,0.0
POL101242,2024-10-14,2025-10-14,EMEA,Other,<100k,4,44.2,UW-D,243.92,0,0.0,2024,10,0.0,0,0.0
POL101243,2024-09-22,2025-09-22,UK,Professional Services,100k-500k,8,63.1,UW-A,898.54,0,0.0,2024,9,0.0,0,0.0
POL101244,2024-06-10,2025-06-10,UK,Other,<100k,3,68.9,UW-B,208.08,0,0.0,2024,6,0.0,0,0.0
